ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-03-20T00:00:00.000000000Z,35,23,1023411122,49.180000000,49.180000000,49.180000000,49.180000000,1,QQQ   250321C00435000
2025-03-20T00:00:00.000000000Z,35,26,1023411122,45.000000000,45.000000000,45.000000000,45.000000000,5,QQQ   250321C00435000
2025-03-20T00:00:00.000000000Z,35,22,1023410536,23.930000000,23.930000000,23.930000000,23.930000000,1,QQQ   250331C00458000
2025-03-20T00:00:00.000000000Z,35,34,1023410536,23.140000000,23.140000000,23.140000000,23.140000000,1,QQQ   250331C00458000
2025-03-20T00:00:00.000000000Z,35,25,1023410481,0.040000000,0.040000000,0.030000000,0.030000000,616,QQQ   250321C00503000
2025-03-20T00:00:00.000000000Z,35,27,1023410481,0.030000000,0.050000000,0.030000000,0.050000000,17,QQQ   250321C00503000
2025-03-20T00:00:00.000000000Z,35,31,1023410481,0.030000000,0.030000000,0.030000000,0.030000000,71,QQQ   250321C00503000
2025-03-20T00:00:00.000000000Z,35,33,1023410481,0.040000000,0.040000000,0.020000000,0.020000000,1101,QQQ   250321C00503000
2025-03-20T00:00:00.000000000Z,35,34,1023410481,0.040000000,0.040000000,0.020000000,0.020000000,309,QQQ   250321C00503000
2025-03-20T00:00:00.000000000Z,35,24,1023411030,3.980000000,8.610000000,3.500000000,4.550000000,349,QQQ   250321C00477000
2025-03-20T00:00:00.000000000Z,35,27,1023411030,4.150000000,7.960000000,3.520000000,4.380000000,106,QQQ   250321C00477000
2025-03-20T00:00:00.000000000Z,35,34,1023411030,8.220000000,8.330000000,3.540000000,4.550000000,45,QQQ   250321C00477000
2025-03-20T00:00:00.000000000Z,35,61,1023411030,3.970000000,8.580000000,3.970000000,4.210000000,570,QQQ   250321C00477000
2025-03-20T00:00:00.000000000Z,35,32,1023411217,1.300000000,1.300000000,1.300000000,1.300000000,63,QQQ   250327C00495000
2025-03-20T00:00:00.000000000Z,35,23,1023410764,17.100000000,19.000000000,17.100000000,19.000000000,2,QQQ   250919C00515000
2025-03-20T00:00:00.000000000Z,35,25,1023410764,18.010000000,18.010000000,18.010000000,18.010000000,1,QQQ   250919C00515000
2025-03-20T00:00:00.000000000Z,35,22,1023410484,34.280000000,34.280000000,34.280000000,34.280000000,1,QQQ   250327C00445000
2025-03-20T00:00:00.000000000Z,35,26,1023411016,17.320000000,17.320000000,17.320000000,17.320000000,1,QQQ   250327C00468000
2025-03-20T00:00:00.000000000Z,35,20,1023410302,5.860000000,6.460000000,4.000000000,4.220000000,27,QQQ   250327C00483000
2025-03-20T00:00:00.000000000Z,35,26,1023410302,5.850000000,6.100000000,5.850000000,6.100000000,5,QQQ   250327C00483000
2025-03-20T00:00:00.000000000Z,35,27,1023410302,6.390000000,6.390000000,3.780000000,3.950000000,51,QQQ   250327C00483000
2025-03-20T00:00:00.000000000Z,35,29,1023410302,5.920000000,6.430000000,4.420000000,4.420000000,61,QQQ   250327C00483000
2025-03-20T00:00:00.000000000Z,35,35,1023410302,5.500000000,6.600000000,3.670000000,3.830000000,202,QQQ   250327C00483000
2025-03-20T00:00:00.000000000Z,35,31,1023410191,0.070000000,0.080000000,0.030000000,0.030000000,430,QQQ   250321C00500000
2025-03-20T00:00:00.000000000Z,35,35,1023410191,0.050000000,0.090000000,0.020000000,0.020000000,426,QQQ   250321C00500000
2025-03-20T00:00:00.000000000Z,35,61,1023410191,0.050000000,0.090000000,0.020000000,0.030000000,80,QQQ   250321C00500000
2025-03-20T00:00:00.000000000Z,35,27,1023410661,13.950000000,13.950000000,13.950000000,13.950000000,1,QQQ   250321C00463000
2025-03-20T00:00:00.000000000Z,35,21,1023410815,6.030000000,6.450000000,5.380000000,5.820000000,10,QQQ   250325C00477000
2025-03-20T00:00:00.000000000Z,35,22,1023410815,5.810000000,9.170000000,5.450000000,6.320000000,14,QQQ   250325C00477000
2025-03-20T00:00:00.000000000Z,35,28,1023410815,6.410000000,8.420000000,5.950000000,5.950000000,4,QQQ   250325C00477000
2025-03-20T00:00:00.000000000Z,35,35,1023410815,5.710000000,6.810000000,5.440000000,6.390000000,32,QQQ   250325C00477000
2025-03-20T00:00:00.000000000Z,35,36,1023410815,6.480000000,6.480000000,6.050000000,6.330000000,16,QQQ   250325C00477000
2025-03-20T00:00:00.000000000Z,35,29,1023410820,6.070000000,6.070000000,6.070000000,6.070000000,1,QQQ   250731C00535000
2025-03-20T00:00:00.000000000Z,35,26,1023410184,25.070000000,25.070000000,23.380000000,24.940000000,4,QQQ   250321C00455000
2025-03-20T00:00:00.000000000Z,35,28,1023410184,28.740000000,28.740000000,24.860000000,24.870000000,4,QQQ   250321C00455000
2025-03-20T00:00:00.000000000Z,35,20,1023410837,4.670000000,5.370000000,2.880000000,2.880000000,121,QQQ   250325C00483000
2025-03-20T00:00:00.000000000Z,35,26,1023410837,4.450000000,5.670000000,2.500000000,3.030000000,73,QQQ   250325C00483000
2025-03-20T00:00:00.000000000Z,35,29,1023410837,4.910000000,5.600000000,2.510000000,2.540000000,192,QQQ   250325C00483000
2025-03-20T00:00:00.000000000Z,35,33,1023410837,2.710000000,3.530000000,2.710000000,3.530000000,11,QQQ   250325C00483000
2025-03-20T00:00:00.000000000Z,35,61,1023410837,3.480000000,3.820000000,3.480000000,3.820000000,52,QQQ   250325C00483000
2025-03-20T00:00:00.000000000Z,35,23,1023410653,1.500000000,4.230000000,1.080000000,1.400000000,1240,QQQ   250321C00483000
2025-03-20T00:00:00.000000000Z,35,25,1023410653,1.500000000,4.250000000,1.070000000,1.390000000,2469,QQQ   250321C00483000
2025-03-20T00:00:00.000000000Z,35,27,1023410653,1.500000000,4.250000000,1.070000000,1.430000000,1081,QQQ   250321C00483000
2025-03-20T00:00:00.000000000Z,35,28,1023410653,1.510000000,4.160000000,1.080000000,1.340000000,2074,QQQ   250321C00483000
2025-03-20T00:00:00.000000000Z,35,21,1023410646,0.030000000,0.030000000,0.030000000,0.030000000,4,QQQ   250321C00507000
2025-03-20T00:00:00.000000000Z,35,21,1023410628,2.620000000,2.620000000,2.620000000,2.620000000,25,QQQ   250731C00555000
2025-03-20T00:00:00.000000000Z,35,22,1023410978,22.890000000,22.890000000,22.890000000,22.890000000,1,QQQ   250919C00500000
2025-03-20T00:00:00.000000000Z,35,28,1023410978,23.900000000,23.900000000,23.900000000,23.900000000,1,QQQ   250919C00500000
2025-03-20T00:00:00.000000000Z,35,37,1023410978,25.250000000,25.250000000,23.500000000,23.500000000,4,QQQ   250919C00500000
2025-03-20T00:00:00.000000000Z,35,27,1023411165,0.040000000,0.040000000,0.020000000,0.020000000,6,QQQ   250321C00504000
